NAMESPACE                     LAST SEEN   TYPE      REASON              OBJECT                                           MESSAGE
kube-system                   103s        Normal    Pulled              pod/coredns-5bf8685f84-v2t8x                     Container image "registry.k8s.io/coredns/coredns:v1.13.1" already present on machine and can be accessed by the pod
kube-system                   103s        Normal    Created             pod/coredns-5bf8685f84-v2t8x                     Container created
kube-system                   103s        Normal    Created             pod/coredns-5bf8685f84-nsmbr                     Container created
kube-system                   91s         Normal    SuccessfulDelete    daemonset/cilium                                 Deleted pod: cilium-sgjp4
kube-system                   91s         Normal    Killing             pod/cilium-sgjp4                                 Stopping container cilium-agent
kube-system                   88s         Normal    SuccessfulCreate    daemonset/cilium                                 Created pod: cilium-qcpq4
kube-system                   88s         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system                   88s         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system                   88s         Normal    Scheduled           pod/cilium-qcpq4                                 Successfully assigned kube-system/cilium-qcpq4 to zkd01.fyre.ibm.com
kube-system                   87s         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system                   86s         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system                   86s         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system                   86s         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system                   85s         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system                   85s         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system                   85s         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system                   84s         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
kube-system                   84s         Normal    Created             pod/cilium-qcpq4                                 Container created
kube-system                   84s         Normal    Started             pod/cilium-qcpq4                                 Container started
kube-system                   83s         Normal    Pulled              pod/cilium-qcpq4                                 Container image "docker.io/cilium/cilium-dev:s390x-be-policyfix2-20260221T163855Z" already present on machine and can be accessed by the pod
